census_tract,total_pop,under_5,5_to_9,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Selected Age Categories,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Male population,Under 5 years,5 to 9 years,10 to 14 years_1,15 to 19 years_1,20 to 24 years_1,25 to 29 years_1,30 to 34 years_1,35 to 39 years_1,40 to 44 years_1,45 to 49 years_1,50 to 54 years_1,55 to 59 years_1,60 to 64 years_1,65 to 69 years_1,70 to 74 years_1,75 to 79 years_1,80 to 84 years_1,85 years and over_1,Selected Age Categories_1,16 years and over_1,18 years and over_1,21 years and over_1,62 years and over_1,65 years and over_1,Female population,Under 5 years_1,5 to 9 years_1,10 to 14 years_2,15 to 19 years_2,20 to 24 years_2,25 to 29 years_2,30 to 34 years_2,35 to 39 years_2,40 to 44 years_2,45 to 49 years_2,50 to 54 years_2,55 to 59 years_2,60 to 64 years_2,65 to 69 years_2,70 to 74 years_2,75 to 79 years_2,80 to 84 years_2,85 years and over_2,Selected Age Categories_2,16 years and over_2,18 years and over_2,21 years and over_2,62 years and over_2,65 years and over_2,MEDIAN AGE BY SEX,Both sexes,Male,Female,RACE,Total population,One Race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,TOTAL RACES TALLIED [1],Total races tallied,White alone or in combination with one or more other races,Black or African American alone or in combination with one or more other races,American Indian and Alaska Native alone or in combination with one or more other races,Asian alone or in combination with one or more other races,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,Total population_1,Hispanic or Latino (of any race),Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,Total population_2,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races_1,Not Hispanic or Latino_1,White alone_1,Black or African American alone_1,American Indian and Alaska Native alone_1,Asian alone_1,Native Hawaiian and Other Pacific Islander alone_1,Some Other Race alone_1,Two or More Races_2,RELATIONSHIP,Total population_3,In households,Householder,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,Child [2],Under 18 years,Grandchild,Under 18 years_1,Other relatives,Nonrelatives,In group quarters,Institutionalized population:,Male_1,Female_1,Noninstitutionalized population:,Male_2,Female_2,HOUSEHOLDS BY TYPE,Total households,Married couple household,With own children under 18 [3],Cohabiting couple household,With own children under 18 [3]_1,"Male householder, no spouse or partner present:",Living alone,65 years and over_3,With own children under 18 [3]_2,"Female householder, no spouse or partner present:",Living alone_1,65 years and over_4,With own children under 18 [3]_3,Households with individuals under 18 years,Households with individuals 65 years and over,HOUSING OCCUPANCY,Total housing units,Occupied housing units,Vacant housing units,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",All other vacants,VACANCY RATES,Homeowner vacancy rate (percent) [4],Rental vacancy rate (percent) [5],HOUSING TENURE,Occupied housing units_1,Owner-occupied housing units,Renter-occupied housing units,near_hblr,white_pct,black_pct,asian_pct,amerindian_pct,other_pct,hispanic_pct,near_path
Census Tract 125; Hudson County; New Jersey!!Percent,100.00%,4.10%,4.70%,6.10%,6.90%,7.00%,6.60%,5.70%,7.10%,6.70%,6.80%,7.60%,6.90%,7.50%,6.00%,4.10%,2.50%,1.90%,1.70%,,83.80%,81.20%,76.40%,20.20%,16.20%,100.00%,4.00%,4.50%,7.20%,7.40%,7.90%,6.70%,6.00%,7.10%,6.40%,6.50%,8.10%,6.60%,7.50%,5.30%,3.80%,1.90%,1.80%,1.10%,,82.70%,80.20%,74.50%,17.90%,13.90%,100.00%,4.10%,5.00%,5.10%,6.40%,6.10%,6.50%,5.50%,7.10%,6.90%,7.00%,7.00%,7.20%,7.50%,6.70%,4.40%,3.00%,2.00%,2.30%,,84.80%,82.10%,78.10%,22.30%,18.40%,,(X),(X),(X),,100.00%,80.40%,54.90%,1.90%,0.60%,4.60%,0.30%,18.10%,19.60%,,120.50%,72.80%,3.80%,1.60%,5.90%,0.50%,35.90%,,100.00%,37.70%,62.30%,,100.00%,37.70%,6.20%,0.60%,0.40%,0.00%,0.00%,16.50%,14.00%,62.30%,48.70%,1.30%,0.20%,4.60%,0.20%,1.60%,5.60%,,100.00%,98.50%,35.80%,18.00%,0.10%,1.70%,0.00%,30.10%,15.80%,2.30%,1.80%,7.90%,2.70%,1.50%,0.00%,0.00%,0.00%,1.50%,1.10%,0.40%,,100.00%,51.60%,19.70%,4.80%,1.40%,15.50%,7.70%,2.60%,1.20%,28.10%,10.30%,5.10%,5.90%,32.90%,33.00%,,100.00%,96.30%,3.70%,0.50%,0.20%,0.40%,0.00%,0.20%,2.40%,,(X),(X),,100.00%,60.30%,39.70%,False,48.7,1.3,4.6,0.2,1.6,37.7,False
Census Tract 126; Hudson County; New Jersey!!Percent,100.00%,5.50%,6.40%,6.20%,5.80%,6.40%,7.30%,7.90%,8.30%,6.50%,6.40%,7.00%,7.70%,6.70%,4.30%,2.70%,2.00%,1.20%,1.60%,,80.90%,78.70%,75.00%,15.10%,11.80%,100.00%,6.20%,6.90%,6.20%,5.70%,7.10%,7.20%,7.20%,9.00%,6.50%,6.40%,7.00%,7.50%,6.30%,4.00%,2.70%,1.30%,1.10%,1.70%,,79.80%,77.40%,73.60%,13.70%,10.80%,100.00%,4.90%,5.90%,6.20%,5.90%,5.80%,7.40%,8.50%,7.60%,6.50%,6.50%,7.10%,7.90%,7.00%,4.60%,2.70%,2.70%,1.40%,1.40%,,82.00%,79.90%,76.30%,16.40%,12.80%,,(X),(X),(X),,100.00%,78.20%,46.70%,2.20%,0.70%,4.30%,0.10%,24.30%,21.80%,,123.10%,66.50%,4.80%,2.50%,5.40%,0.40%,43.60%,,100.00%,45.00%,55.00%,,100.00%,45.00%,6.00%,0.70%,0.70%,0.30%,0.00%,21.00%,16.30%,55.00%,40.70%,1.50%,0.00%,4.00%,0.10%,3.30%,5.50%,,100.00%,99.90%,35.30%,16.90%,0.10%,1.80%,0.10%,32.10%,19.00%,2.00%,1.20%,8.30%,3.30%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,,100.00%,47.90%,21.50%,5.40%,2.30%,18.20%,9.10%,2.40%,2.40%,28.50%,11.60%,4.80%,6.30%,37.10%,24.00%,,100.00%,96.10%,3.90%,1.40%,0.30%,0.40%,0.20%,0.10%,1.50%,,(X),(X),,100.00%,39.50%,60.50%,False,40.7,1.5,4.0,0.0,3.3,45.0,False
Census Tract 127; Hudson County; New Jersey!!Percent,100.00%,4.00%,4.20%,4.30%,5.90%,6.90%,9.10%,8.80%,9.00%,7.90%,6.80%,6.30%,6.40%,5.90%,4.40%,4.00%,2.50%,2.00%,1.70%,,86.60%,84.40%,80.50%,17.90%,14.50%,100.00%,3.50%,3.70%,4.00%,5.70%,8.30%,10.60%,9.90%,10.20%,8.50%,7.70%,6.30%,5.30%,5.10%,3.70%,2.90%,2.00%,1.40%,1.10%,,88.00%,86.20%,81.70%,14.30%,11.10%,100.00%,4.60%,4.90%,4.70%,6.20%,5.20%,7.30%,7.40%,7.60%,7.10%,5.70%,6.20%,7.60%,6.90%,5.20%,5.20%,3.10%,2.70%,2.40%,,85.00%,82.10%,79.00%,22.40%,18.60%,,(X),(X),(X),,100.00%,83.60%,43.40%,8.50%,0.50%,3.90%,0.10%,27.20%,16.40%,,116.90%,58.80%,9.80%,1.30%,4.60%,0.20%,42.30%,,100.00%,42.20%,57.80%,,100.00%,42.20%,5.10%,0.30%,0.30%,0.10%,0.00%,24.40%,11.90%,57.80%,38.30%,8.20%,0.10%,3.80%,0.10%,2.80%,4.50%,,100.00%,82.80%,32.50%,14.00%,0.10%,2.00%,0.10%,24.60%,14.10%,1.10%,0.70%,5.70%,2.70%,17.20%,17.20%,15.90%,1.20%,0.00%,0.00%,0.00%,,100.00%,43.80%,17.10%,6.40%,2.50%,18.60%,10.90%,4.30%,1.70%,31.10%,16.30%,9.30%,5.00%,29.90%,34.20%,,100.00%,95.30%,4.70%,1.50%,0.50%,0.60%,0.20%,0.00%,1.90%,,(X),(X),,100.00%,46.10%,53.90%,False,38.3,8.2,3.8,0.1,2.8,42.2,False
Census Tract 128; Hudson County; New Jersey!!Percent,100.00%,5.70%,5.80%,5.90%,6.40%,6.70%,8.00%,9.40%,7.60%,7.80%,6.20%,6.70%,6.50%,5.50%,4.10%,2.90%,2.10%,1.60%,1.10%,,81.20%,78.60%,74.80%,15.20%,11.80%,100.00%,5.80%,5.80%,6.20%,6.40%,7.90%,7.20%,9.80%,7.70%,8.10%,6.30%,6.30%,6.50%,5.80%,4.00%,2.10%,1.90%,1.50%,0.80%,,80.70%,78.40%,74.30%,13.90%,10.30%,100.00%,5.70%,5.70%,5.60%,6.40%,5.50%,8.70%,9.00%,7.60%,7.50%,6.10%,7.10%,6.60%,5.20%,4.10%,3.70%,2.20%,1.60%,1.50%,,81.80%,78.90%,75.40%,16.40%,13.20%,,(X),(X),(X),,100.00%,80.00%,36.80%,3.20%,0.80%,7.00%,0.00%,32.10%,20.00%,,120.80%,55.70%,4.70%,1.60%,7.40%,0.30%,51.20%,,100.00%,49.60%,50.40%,,100.00%,49.60%,5.80%,0.70%,0.60%,0.10%,0.00%,28.40%,13.90%,50.40%,31.00%,2.50%,0.20%,6.80%,0.00%,3.70%,6.10%,,100.00%,99.90%,35.60%,16.90%,0.10%,2.80%,0.20%,30.40%,19.30%,1.60%,1.10%,7.30%,4.90%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,,100.00%,47.20%,19.50%,8.10%,3.50%,19.00%,9.80%,2.30%,2.00%,25.70%,9.50%,4.20%,7.40%,36.30%,25.20%,,100.00%,95.50%,4.50%,1.80%,0.10%,0.60%,0.00%,0.30%,1.70%,,(X),(X),,100.00%,35.90%,64.10%,False,31.0,2.5,6.8,0.2,3.7,49.6,False
Census Tract 129; Hudson County; New Jersey!!Percent,100.00%,5.30%,6.40%,5.80%,7.10%,7.20%,8.40%,6.90%,6.80%,7.50%,6.50%,6.90%,6.50%,5.90%,4.00%,2.70%,2.50%,1.50%,2.00%,,81.00%,77.90%,74.30%,15.90%,12.70%,100.00%,6.30%,6.60%,6.40%,7.80%,7.40%,9.30%,7.40%,6.20%,6.80%,6.40%,5.90%,6.90%,5.90%,3.80%,2.40%,2.50%,1.00%,1.00%,,79.20%,75.70%,71.60%,13.90%,10.60%,100.00%,4.40%,6.10%,5.20%,6.50%,6.90%,7.50%,6.40%,7.40%,8.30%,6.60%,7.90%,6.20%,5.90%,4.30%,3.00%,2.40%,2.10%,3.00%,,82.90%,80.20%,77.00%,18.00%,14.80%,,(X),(X),(X),,100.00%,80.70%,35.60%,2.90%,1.20%,3.60%,0.00%,37.40%,19.30%,,120.30%,53.10%,5.20%,2.10%,4.20%,0.10%,55.50%,,100.00%,58.40%,41.60%,,100.00%,58.40%,8.00%,0.60%,1.20%,0.30%,0.00%,34.10%,14.20%,41.60%,27.60%,2.20%,0.00%,3.40%,0.00%,3.30%,5.10%,,100.00%,97.40%,32.20%,15.50%,0.10%,2.40%,0.10%,32.60%,19.50%,2.10%,1.60%,8.00%,4.40%,2.60%,2.60%,0.90%,1.70%,0.00%,0.00%,0.00%,,100.00%,47.80%,21.70%,8.10%,3.80%,18.60%,9.40%,2.10%,2.30%,25.50%,7.70%,4.50%,7.60%,40.70%,25.40%,,100.00%,96.00%,4.00%,2.10%,0.00%,0.00%,0.20%,0.00%,1.80%,,(X),(X),,100.00%,40.00%,60.00%,False,27.6,2.2,3.4,0.0,3.3,58.4,False
Census Tract 130; Hudson County; New Jersey!!Percent,100.00%,5.50%,6.90%,7.10%,7.40%,7.80%,6.80%,6.80%,7.20%,7.10%,6.50%,7.20%,6.10%,5.40%,4.10%,4.10%,1.90%,1.10%,0.50%,,78.90%,76.20%,71.70%,15.40%,11.90%,100.00%,5.60%,6.70%,7.10%,7.90%,8.50%,6.90%,7.00%,7.80%,7.10%,5.90%,7.00%,6.20%,5.30%,4.40%,4.20%,1.50%,0.80%,0.20%,,78.90%,76.20%,71.00%,14.50%,11.10%,100.00%,5.30%,7.20%,7.20%,7.00%,7.20%,6.80%,6.70%,6.70%,7.00%,7.20%,7.40%,6.10%,5.50%,3.90%,4.10%,2.40%,1.50%,0.90%,,78.80%,76.20%,72.30%,16.30%,12.70%,,(X),(X),(X),,100.00%,79.00%,28.00%,2.20%,1.00%,4.10%,0.10%,43.70%,21.00%,,121.60%,46.60%,4.60%,2.20%,4.60%,0.40%,63.30%,,100.00%,64.90%,35.10%,,100.00%,64.90%,7.10%,0.50%,1.00%,0.20%,0.00%,39.30%,16.70%,35.10%,20.90%,1.60%,0.00%,3.90%,0.10%,4.40%,4.30%,,100.00%,99.80%,32.90%,14.40%,0.10%,2.10%,0.00%,33.70%,20.90%,2.20%,1.70%,9.20%,5.20%,0.20%,0.00%,0.00%,0.00%,0.20%,0.10%,0.10%,,100.00%,45.10%,21.30%,7.00%,3.90%,21.30%,9.90%,2.60%,2.60%,26.60%,7.90%,3.40%,7.70%,41.30%,27.20%,,100.00%,96.20%,3.80%,1.50%,0.00%,0.10%,0.20%,0.10%,2.00%,,(X),(X),,100.00%,25.90%,74.10%,False,20.9,1.6,3.9,0.0,4.4,64.9,False
Census Tract 131; Hudson County; New Jersey!!Percent,100.00%,5.70%,6.70%,6.60%,7.10%,6.70%,6.80%,6.90%,6.90%,7.10%,6.60%,7.30%,6.60%,6.40%,4.70%,3.20%,1.70%,1.20%,1.60%,,80.00%,76.80%,72.20%,16.50%,12.40%,100.00%,6.10%,8.00%,6.50%,5.70%,7.60%,7.50%,7.00%,6.40%,7.20%,6.20%,7.90%,7.00%,6.20%,3.80%,3.20%,1.30%,1.20%,1.00%,,78.40%,76.30%,71.80%,14.60%,10.60%,100.00%,5.40%,5.40%,6.70%,8.40%,6.00%,6.20%,6.90%,7.30%,7.00%,7.00%,6.90%,6.20%,6.50%,5.60%,3.20%,2.00%,1.20%,2.10%,,81.40%,77.30%,72.50%,18.40%,14.20%,,(X),(X),(X),,100.00%,80.30%,41.80%,1.70%,1.20%,2.80%,0.10%,32.60%,19.70%,,121.00%,59.60%,3.50%,2.60%,4.10%,0.40%,50.90%,,100.00%,52.80%,47.20%,,100.00%,52.80%,7.20%,0.50%,1.10%,0.20%,0.10%,29.20%,14.50%,47.20%,34.60%,1.30%,0.20%,2.60%,0.00%,3.30%,5.20%,,100.00%,100.00%,34.40%,15.80%,0.10%,1.90%,0.10%,33.80%,20.30%,2.50%,2.10%,8.80%,2.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,48.20%,22.80%,5.80%,3.20%,17.80%,7.30%,1.20%,2.60%,28.20%,9.40%,4.40%,6.90%,41.00%,28.20%,,100.00%,96.40%,3.60%,0.80%,0.30%,0.10%,0.00%,0.40%,2.10%,,(X),(X),,100.00%,40.80%,59.20%,False,34.6,1.3,2.6,0.2,3.3,52.8,False
Census Tract 132; Hudson County; New Jersey!!Percent,100.00%,5.50%,5.60%,6.90%,6.20%,6.20%,8.00%,8.60%,7.90%,7.50%,6.90%,6.20%,6.40%,5.90%,4.70%,3.20%,2.10%,1.30%,0.80%,,80.60%,78.20%,74.70%,15.60%,12.20%,100.00%,6.50%,5.60%,7.20%,6.70%,6.10%,9.60%,8.90%,8.10%,6.60%,6.90%,5.70%,5.40%,5.50%,4.30%,3.70%,1.70%,1.10%,0.50%,,79.30%,76.70%,72.90%,14.30%,11.20%,100.00%,4.50%,5.50%,6.70%,5.70%,6.20%,6.40%,8.40%,7.60%,8.50%,7.00%,6.80%,7.30%,6.30%,5.20%,2.70%,2.50%,1.50%,1.10%,,81.90%,79.70%,76.50%,16.90%,13.10%,,(X),(X),(X),,100.00%,80.60%,34.00%,3.80%,1.20%,4.30%,0.00%,37.20%,19.40%,,120.30%,51.60%,5.30%,3.40%,4.90%,0.10%,55.00%,,100.00%,59.50%,40.50%,,100.00%,59.50%,8.20%,0.80%,1.20%,0.00%,0.00%,33.30%,15.90%,40.50%,25.80%,2.90%,0.00%,4.30%,0.00%,3.90%,3.60%,,100.00%,99.60%,35.40%,14.70%,0.10%,1.80%,0.10%,30.10%,17.90%,2.20%,1.60%,10.10%,5.10%,0.40%,0.40%,0.20%,0.20%,0.00%,0.00%,0.00%,,100.00%,41.30%,16.80%,5.10%,2.40%,23.60%,11.20%,2.70%,3.60%,30.00%,9.70%,3.80%,7.60%,34.30%,26.20%,,100.00%,96.20%,3.80%,2.00%,0.40%,0.40%,0.10%,0.30%,0.80%,,(X),(X),,100.00%,27.70%,72.30%,False,25.8,2.9,4.3,0.0,3.9,59.5,False
Census Tract 133; Hudson County; New Jersey!!Percent,100.00%,5.70%,4.80%,5.90%,5.20%,6.50%,10.00%,9.90%,7.20%,6.20%,6.50%,6.30%,7.30%,6.70%,3.60%,3.20%,1.90%,1.20%,2.20%,,82.70%,80.50%,76.60%,16.00%,12.00%,100.00%,5.50%,5.10%,6.50%,5.80%,7.00%,10.00%,10.40%,7.00%,5.90%,6.40%,6.10%,7.30%,6.20%,3.90%,2.90%,1.50%,1.20%,1.30%,,82.30%,79.60%,74.90%,14.20%,10.90%,100.00%,5.90%,4.60%,5.30%,4.60%,5.90%,9.90%,9.40%,7.30%,6.50%,6.60%,6.50%,7.40%,7.10%,3.20%,3.50%,2.30%,1.10%,3.00%,,83.10%,81.30%,78.30%,17.80%,13.10%,,(X),(X),(X),,100.00%,80.70%,36.60%,4.10%,1.00%,9.00%,0.00%,29.90%,19.30%,,120.10%,53.90%,5.70%,1.80%,9.90%,0.20%,48.50%,,100.00%,49.40%,50.60%,,100.00%,49.40%,6.00%,0.60%,0.80%,0.20%,0.00%,26.90%,15.00%,50.60%,30.70%,3.60%,0.20%,8.90%,0.00%,3.10%,4.20%,,100.00%,98.90%,37.30%,16.30%,0.40%,2.90%,0.20%,27.30%,16.80%,2.20%,2.00%,7.70%,4.60%,1.10%,1.10%,0.50%,0.60%,0.00%,0.00%,0.00%,,100.00%,44.10%,15.40%,8.50%,2.60%,21.10%,11.90%,2.60%,2.10%,26.30%,10.10%,3.00%,6.90%,31.00%,22.30%,,100.00%,87.50%,12.50%,1.90%,0.20%,0.00%,0.00%,0.00%,10.30%,,(X),(X),,100.00%,26.90%,73.10%,False,30.7,3.6,8.9,0.2,3.1,49.4,False
Census Tract 134; Hudson County; New Jersey!!Percent,100.00%,6.70%,4.80%,5.80%,6.70%,7.50%,9.40%,8.90%,7.30%,5.60%,7.30%,7.10%,6.70%,6.10%,3.40%,2.40%,1.50%,1.60%,1.20%,,81.60%,79.30%,74.80%,13.10%,10.10%,100.00%,6.10%,5.20%,6.50%,7.10%,8.00%,10.10%,8.90%,7.30%,5.60%,7.50%,6.30%,6.50%,5.80%,3.30%,2.10%,1.40%,1.00%,1.20%,,80.90%,78.80%,73.90%,11.30%,9.00%,100.00%,7.40%,4.40%,5.00%,6.30%,6.90%,8.60%,8.90%,7.30%,5.60%,7.10%,8.00%,6.90%,6.30%,3.60%,2.70%,1.60%,2.20%,1.10%,,82.30%,79.80%,75.80%,14.80%,11.10%,,(X),(X),(X),,100.00%,81.80%,27.40%,2.80%,1.40%,9.90%,0.10%,40.20%,18.20%,,119.10%,43.80%,3.50%,3.70%,10.70%,0.30%,57.20%,,100.00%,62.40%,37.60%,,100.00%,62.40%,7.70%,0.70%,1.30%,0.00%,0.10%,37.00%,15.50%,37.60%,19.70%,2.10%,0.10%,9.90%,0.00%,3.20%,2.70%,,100.00%,100.00%,34.30%,13.40%,0.30%,2.50%,0.30%,29.60%,17.30%,1.80%,1.30%,8.50%,9.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,40.30%,17.20%,7.20%,3.10%,22.60%,7.10%,0.40%,3.40%,29.90%,8.70%,3.10%,8.80%,41.70%,24.50%,,100.00%,96.60%,3.40%,2.30%,0.10%,0.30%,0.00%,0.00%,0.70%,,(X),(X),,100.00%,23.20%,76.80%,False,19.7,2.1,9.9,0.1,3.2,62.4,False
Census Tract 135; Hudson County; New Jersey!!Percent,100.00%,5.20%,5.20%,6.50%,6.70%,7.50%,9.80%,8.30%,6.50%,6.80%,5.90%,6.50%,7.10%,5.70%,4.50%,3.60%,2.00%,1.30%,0.80%,,81.50%,78.60%,75.10%,15.50%,12.30%,100.00%,5.20%,6.00%,6.50%,7.10%,8.20%,11.20%,9.10%,6.40%,6.80%,5.40%,5.70%,6.40%,5.20%,3.90%,3.40%,1.70%,1.30%,0.40%,,80.70%,77.80%,73.30%,13.80%,10.70%,100.00%,5.20%,4.50%,6.50%,6.30%,6.90%,8.50%,7.50%,6.50%,6.80%,6.50%,7.30%,7.70%,6.20%,5.00%,3.90%,2.40%,1.40%,1.10%,,82.20%,79.40%,76.90%,17.10%,13.80%,,(X),(X),(X),,100.00%,82.00%,32.00%,2.70%,1.20%,13.90%,0.00%,32.20%,18.00%,,119.10%,48.20%,4.80%,2.80%,14.80%,0.20%,48.40%,,100.00%,50.30%,49.70%,,100.00%,50.30%,6.30%,0.30%,1.10%,0.20%,0.00%,28.90%,13.50%,49.70%,25.70%,2.40%,0.10%,13.70%,0.00%,3.30%,4.50%,,100.00%,100.00%,36.80%,14.60%,0.20%,1.90%,0.10%,30.40%,18.40%,1.80%,1.20%,7.20%,7.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,40.30%,17.00%,5.50%,2.60%,21.10%,10.20%,2.50%,2.00%,33.00%,13.20%,6.30%,8.00%,34.20%,27.00%,,100.00%,95.80%,4.20%,2.30%,0.30%,0.10%,0.30%,0.20%,1.00%,,(X),(X),,100.00%,22.70%,77.30%,False,25.7,2.4,13.7,0.1,3.3,50.3,False
Census Tract 136; Hudson County; New Jersey!!Percent,100.00%,6.60%,6.40%,5.30%,5.90%,9.60%,11.10%,10.00%,6.10%,7.30%,6.00%,5.70%,4.80%,5.20%,3.70%,3.00%,1.30%,0.90%,1.00%,,80.70%,78.30%,75.00%,12.70%,9.90%,100.00%,6.90%,5.40%,5.80%,5.50%,10.20%,12.80%,10.50%,7.10%,7.20%,4.70%,5.70%,4.20%,5.80%,2.50%,3.00%,1.20%,0.70%,0.70%,,80.30%,78.50%,75.40%,10.90%,8.10%,100.00%,6.20%,7.40%,4.70%,6.40%,8.90%,9.30%,9.40%,4.90%,7.40%,7.50%,5.80%,5.40%,4.70%,4.90%,3.00%,1.40%,1.20%,1.30%,,81.10%,78.10%,74.50%,14.70%,12.00%,,(X),(X),(X),,100.00%,84.40%,24.30%,1.90%,1.90%,17.70%,0.00%,38.60%,15.60%,,116.30%,38.50%,3.30%,2.50%,19.00%,0.10%,52.90%,,100.00%,57.30%,42.70%,,100.00%,57.30%,8.10%,0.40%,1.80%,0.10%,0.00%,34.90%,11.90%,42.70%,16.10%,1.40%,0.10%,17.60%,0.00%,3.70%,3.80%,,100.00%,100.00%,34.20%,12.80%,0.10%,2.40%,0.30%,29.90%,19.20%,1.30%,0.90%,8.20%,10.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,38.40%,19.00%,7.70%,3.80%,25.00%,11.10%,2.10%,2.30%,28.90%,10.90%,5.10%,8.20%,38.00%,21.40%,,100.00%,95.50%,4.50%,2.50%,0.00%,0.20%,0.00%,0.10%,1.60%,,(X),(X),,100.00%,20.60%,79.40%,False,16.1,1.4,17.6,0.1,3.7,57.3,False
Census Tract 137; Hudson County; New Jersey!!Percent,100.00%,5.40%,5.70%,6.40%,6.10%,8.70%,12.30%,8.80%,8.00%,7.20%,6.10%,5.30%,5.40%,4.30%,3.50%,2.60%,1.70%,1.00%,1.50%,,81.30%,78.80%,75.20%,12.60%,10.10%,100.00%,4.50%,6.50%,6.00%,6.30%,8.70%,14.50%,9.00%,7.90%,5.80%,6.50%,5.60%,5.70%,4.30%,3.60%,2.60%,1.10%,0.40%,1.00%,,81.80%,79.30%,75.10%,11.20%,8.70%,100.00%,6.40%,4.90%,6.80%,5.80%,8.80%,9.80%,8.60%,8.10%,8.70%,5.70%,5.00%,4.90%,4.40%,3.30%,2.50%,2.40%,1.60%,2.10%,,80.70%,78.20%,75.20%,14.20%,11.90%,,(X),(X),(X),,100.00%,80.40%,23.90%,3.30%,0.70%,18.90%,0.10%,33.50%,19.60%,,121.60%,41.30%,5.60%,2.80%,19.40%,0.20%,52.20%,,100.00%,57.40%,42.60%,,100.00%,57.40%,7.40%,1.00%,0.70%,0.10%,0.10%,31.40%,16.70%,42.60%,16.50%,2.30%,0.00%,18.80%,0.00%,2.10%,2.90%,,100.00%,100.00%,35.70%,13.20%,0.30%,2.40%,0.10%,29.20%,18.90%,1.30%,1.00%,6.60%,11.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,37.90%,18.70%,6.90%,3.40%,29.70%,13.80%,2.70%,2.20%,25.50%,9.10%,3.80%,8.20%,37.40%,19.90%,,100.00%,94.50%,5.50%,3.50%,0.00%,0.40%,0.10%,0.00%,1.50%,,(X),(X),,100.00%,21.20%,78.80%,False,16.5,2.3,18.8,0.0,2.1,57.4,False
Census Tract 138; Hudson County; New Jersey!!Percent,100.00%,6.00%,2.30%,1.80%,1.80%,6.80%,25.00%,22.70%,10.10%,5.10%,4.10%,3.10%,2.70%,2.90%,1.90%,1.50%,1.10%,0.40%,0.90%,,89.60%,88.90%,87.60%,7.30%,5.70%,100.00%,5.70%,2.30%,2.00%,1.60%,6.80%,23.80%,23.20%,11.60%,5.80%,3.80%,3.30%,2.50%,2.90%,1.80%,1.40%,0.70%,0.30%,0.60%,,89.70%,89.20%,87.90%,6.30%,4.80%,100.00%,6.30%,2.20%,1.60%,2.00%,6.90%,26.20%,22.20%,8.40%,4.30%,4.40%,2.90%,2.90%,2.90%,2.10%,1.50%,1.40%,0.60%,1.20%,,89.50%,88.50%,87.10%,8.40%,6.80%,,(X),(X),(X),,100.00%,89.20%,27.40%,6.90%,0.40%,42.60%,0.00%,11.80%,10.80%,,111.70%,37.00%,8.60%,1.40%,43.90%,0.40%,20.40%,,100.00%,19.90%,80.10%,,100.00%,19.90%,3.10%,0.40%,0.30%,0.00%,0.00%,9.20%,7.00%,80.10%,24.40%,6.50%,0.20%,42.60%,0.00%,2.50%,3.90%,,100.00%,99.70%,50.50%,16.70%,0.50%,5.30%,0.50%,14.00%,10.00%,0.80%,0.60%,3.80%,7.50%,0.30%,0.00%,0.00%,0.00%,0.30%,0.20%,0.10%,,100.00%,34.20%,10.40%,11.60%,1.00%,29.80%,20.40%,0.80%,1.20%,24.40%,16.00%,1.30%,1.40%,16.30%,9.80%,,100.00%,93.20%,6.80%,5.90%,0.10%,0.10%,0.00%,0.10%,0.40%,,(X),(X),,100.00%,10.80%,89.20%,False,24.4,6.5,42.6,0.2,2.5,19.9,False
